Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
1,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,20,1,1,1,,,,,,
2,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,16,1,2,2,,,,,,
3,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,22,4,4,2,,,,,,
4,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,14,5,1,1,,,,,,
5,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,1,0,0,0,,,,,,
6,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,5,3,0,1,,,,,,
7,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,1,0,0,0,,,,,,
8,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,0,0,0,0,,,,,,
9,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),0,0,0,0,,,,,,
10,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,0,0,0,0,,,,,,
11,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,0,0,0,0,,,,,,
12,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,0,0,0,0,,,,,,
13,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,10,1,0,1,,,,,,
14,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,36,4,5,4,,,,,,
15,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,0,0,0,0,,,,,,
16,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,2,0,2,0,,,,,,
17,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,10,7,0,1,,,,,,
18,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Professional ,0,0,0,0,,,,,,
19,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Psychopathic/Serial Killer/Lunacy,0,0,0,0,,,,,,
20,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Rape with Murder,7,1,1,2,,,,,,
21,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Revenge/Enemity,26,6,5,0,,,,,,
22,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,62,7,8,10,,,,,,
23,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Village Dispute,0,0,0,0,,,,,,
24,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Custodial,0,0,0,0,,,,,,
25,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Other Causes,487,52,72,57,,,,,,
26,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Gain ,10,2,2,4,,,,,,
27,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Over Property Dispute,49,6,11,7,,,,,,
28,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Personal Vendetta or enemity,51,4,6,7,,,,,,
29,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Sexual jealousy,6,1,2,0,,,,,,
30,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Dowry other Means,12,2,0,2,,,,,,
31,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Dowry By Burning,1,0,0,0,,,,,,
32,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Communalism,1,0,0,0,,,,,,
33,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Casteism,1,0,1,0,,,,,,
34,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,
35,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Human Sacrifice,0,0,0,0,,,,,,
36,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
37,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Political Reasons,5,0,0,0,,,,,,
38,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Adultery,8,1,3,2,,,,,,
39,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Electoral Gain,0,0,0,0,,,,,,
40,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Gang Rivalry,2,0,1,0,,,,,,
41,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Love Intrigue,14,0,2,5,,,,,,
42,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Professional ,4,0,1,1,,,,,,
43,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Rape,1,0,0,0,,,,,,
44,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Revenge/Enemity,142,12,19,18,,,,,,
45,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Sudden Quarrel,178,19,35,34,,,,,,
46,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Village Dispute,5,2,1,2,,,,,,
47,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Other Causes,1246,115,193,139,,,,,,
48,A - IPC/BNS Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Civil Disputes,212,21,43,31,,,,,,
49,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Gain,0,0,0,0,,,,,,
50,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Over Civil Dispute,1,0,0,1,,,,,,
51,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,
52,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Sexual jealousy,0,0,0,0,,,,,,
53,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Dowry,0,0,0,0,,,,,,
54,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Communalism,0,0,0,0,,,,,,
55,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Casteism,0,0,0,0,,,,,,
56,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,
57,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Human Sacrifice,0,0,0,0,,,,,,
58,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,
59,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Political Reasons,0,0,0,0,,,,,,
60,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Adultery,0,0,0,0,,,,,,
61,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Property Disputes,0,0,0,0,,,,,,
62,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Electoral Gain,2,0,0,0,,,,,,
63,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Gang Rivalry,0,0,0,0,,,,,,
64,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Love Intrigue,0,0,0,0,,,,,,
65,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Professional ,0,0,0,0,,,,,,
66,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Sudden Quarrel,7,0,1,0,,,,,,
67,A - IPC/BNS Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Other Causes,53,15,10,1,,,,,,
68,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Gain,0,0,0,0,,,,,,
69,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Over Civil Dispute,1,0,0,1,,,,,,
70,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,
71,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Sexual jealousy,0,0,0,0,,,,,,
72,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Dowry,0,0,0,0,,,,,,
73,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Communalism,0,0,0,0,,,,,,
74,A - IPC/BNS Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Casteism,0,0,0,0,,,,,,
