Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
1,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,19,2,4,1,,,,,,
2,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,14,3,2,2,,,,,,
3,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,20,3,6,4,,,,,,
4,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,12,0,0,0,,,,,,
5,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,1,0,0,0,,,,,,
6,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,4,1,0,0,,,,,,
7,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,1,0,1,0,,,,,,
8,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,0,0,0,0,,,,,,
9,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),0,0,0,0,,,,,,
10,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,0,0,0,0,,,,,,
11,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,0,0,0,0,,,,,,
12,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,0,0,0,0,,,,,,
13,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,9,2,1,0,,,,,,
14,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,32,5,6,4,,,,,,
15,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,0,0,0,0,,,,,,
16,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,3,0,1,2,,,,,,
17,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,9,0,1,0,,,,,,
18,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Professional ,0,0,0,0,,,,,,
19,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Psychopathic/Serial Killer/Lunacy,0,0,0,0,,,,,,
20,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Rape with Murder,6,1,0,2,,,,,,
21,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Revenge/Enemity,25,4,5,4,,,,,,
22,A - IPC/BNS Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,52,12,11,8,,,,,,
