Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
1,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,38,5,3,8,,,,,,,
2,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,22,2,0,2,,,,,,,
3,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,33,2,2,2,,,,,,,
4,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,22,1,1,1,,,,,,,
5,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,1,0,0,0,,,,,,,
6,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,4,0,1,0,,,,,,,
7,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,1,0,0,0,,,,,,,
8,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,1,0,0,0,,,,,,,
9,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),0,0,0,0,,,,,,,
10,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,1,1,0,1,,,,,,,
11,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,0,0,0,0,,,,,,,
12,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,0,0,0,0,,,,,,,
13,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,18,2,1,3,,,,,,,
14,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,48,3,7,2,,,,,,,
15,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,0,0,0,0,,,,,,,
16,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,3,0,1,0,,,,,,,
17,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,24,3,2,1,,,,,,,
18,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Professional ,0,0,0,0,,,,,,,
19,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Psychopathic/Serial Killer/Lunacy,0,0,0,0,,,,,,,
20,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Rape with Murder,9,0,1,0,,,,,,,
21,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Revenge/Enemity,40,2,2,4,,,,,,,
22,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,92,7,8,8,,,,,,,
23,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Village Dispute,0,0,0,0,,,,,,,
24,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Custodial,0,0,0,0,,,,,,,
25,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Other Causes,775,76,80,67,,,,,,,
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Gain ,18,2,2,4,,,,,,,
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Over Property Dispute,71,12,6,5,,,,,,,
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Personal Vendetta or enemity,77,6,12,4,,,,,,,
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Sexual jealousy,13,2,3,3,,,,,,,
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Dowry other Means,18,2,1,3,,,,,,,
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Dowry By Burning,2,0,1,0,,,,,,,
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Communalism,2,0,0,0,,,,,,,
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Casteism,1,0,0,0,,,,,,,
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,,
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Human Sacrifice,0,1,0,0,,,,,,,
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,,
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Political Reasons,6,1,0,0,,,,,,,
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Adultery,13,0,1,2,,,,,,,
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Electoral Gain,0,0,0,0,,,,,,,
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Gang Rivalry,3,0,1,0,,,,,,,
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Love Intrigue,23,5,4,1,,,,,,,
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Professional ,6,0,0,0,,,,,,,
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Rape,1,0,0,0,,,,,,,
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Revenge/Enemity,217,21,18,17,,,,,,,
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Sudden Quarrel,289,29,32,19,,,,,,,
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Village Dispute,6,0,0,0,,,,,,,
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Other Causes,1940,145,207,173,,,,,,,
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Civil Disputes,305,11,28,20,,,,,,,
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Gain,0,0,0,0,,,,,,,
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Over Civil Dispute,1,0,0,0,,,,,,,
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,,
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Sexual jealousy,0,0,0,0,,,,,,,
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Dowry,0,0,0,0,,,,,,,
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Communalism,0,0,0,0,,,,,,,
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Casteism,0,0,0,0,,,,,,,
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,,
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Human Sacrifice,0,0,0,0,,,,,,,
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,,
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Political Reasons,0,0,0,0,,,,,,,
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Adultery,0,0,0,0,,,,,,,
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Property Disputes,0,0,0,0,,,,,,,
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Electoral Gain,4,1,0,0,,,,,,,
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Gang Rivalry,0,0,0,0,,,,,,,
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Love Intrigue,0,0,0,0,,,,,,,
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Professional ,1,0,0,0,,,,,,,
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Sudden Quarrel,10,1,0,0,,,,,,,
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Other Causes,75,7,7,6,,,,,,,
68,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Fatal (Drink & Drive),20,0,0,1,,,,,,,
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Gain,0,0,0,0,,,,,,,
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Over Civil Dispute,2,0,0,0,,,,,,,
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,,
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Sexual jealousy,0,0,0,0,,,,,,,
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Dowry,0,0,0,0,,,,,,,
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Communalism,0,0,0,0,,,,,,,
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Casteism,0,0,0,0,,,,,,,
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Witch Craft (Sorcery),0,0,0,0,,,,,,,
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Human Sacrifice,0,0,0,0,,,,,,,
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,,
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Political Reasons,0,0,0,0,,,,,,,
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Other Causes,47,4,8,1,,,,,,,
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Adultery,1,0,0,0,,,,,,,
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Property Disputes,1,0,0,1,,,,,,,
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Electoral Gain,0,0,0,0,,,,,,,
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Gang Rivalry,0,0,0,0,,,,,,,
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Love Intrigue,2,0,0,0,,,,,,,
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Professional ,0,0,0,0,,,,,,,
