law_type,category_seq,source_sl,category,row_type,subtype,count,year
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,For gain,43,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Over Property Dispute,24,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Personal Vendetta or enemity,34,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Sexual jealousy,23,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,For dowry by burning,1,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,For dowry by other means,7,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Communalism,1,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Casteism,1,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Witch Craft (Sorcery),0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,For Human Sacrifice,1,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Terrorism/Naxalism / Extremism,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,For Political Reasons,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Adultery,20,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Civil Disputes,49,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Electoral Gain,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Gang Rivalry,3,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Love Intrigue,23,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Professional,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Psychopathic/Serial Killer/Lunacy,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Rape with Murder,10,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Revenge/Enemity,45,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Sudden Quarrel,96,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Village Dispute,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Custodial,0,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtype,Due to Other Causes,829,2025
IPC,1,1,"Murder (Sec.302/303 IPC/103,104 BNS)",subtotal,TOTAL,1210,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,For Gain,19,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Over Property Dispute,80,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Due to Personal Vendetta or enemity,83,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Due to Sexual jealousy,14,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,For Dowry other Means,20,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Dowry By Burning,2,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Due to Communalism,2,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Due to Casteism,1,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Witch Craft (Sorcery),0,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,For Human Sacrifice,0,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Terrorism /Naxalism / Extremism,0,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,For Political Reasons,6,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Adultery,16,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Electoral Gain,0,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Gang Rivalry,3,2025
IPC,2,2,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),subtype,Love Intrigue,23,2025
