review_month,section,category,subtype,row_type,ytd,same_month_prev_year,prev_month,current_month,yoy_change,yoy_pct,mom_change,mom_pct,spike_score,trend
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,subtype,43,8,9,2,-6,-75.0,-7,-77.8,-1.53,falling
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,subtype,24,1,2,2,1,100.0,0,0.0,1.0,rising
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,subtype,34,2,1,2,0,0.0,1,100.0,1.0,rising
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,subtype,23,2,1,1,-1,-50.0,0,0.0,-0.5,falling
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,subtype,7,0,0,3,3,,3,,0.0,rising
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,subtype,1,2,0,0,-2,-100.0,0,,-1.0,falling
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,subtype,1,0,1,0,0,,-1,-100.0,-1.0,falling
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,subtype,20,1,3,2,1,100.0,-1,-33.3,0.67,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,subtype,49,4,2,2,-2,-50.0,0,0.0,-0.5,falling
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,subtype,3,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,subtype,23,1,1,0,-1,-100.0,-1,-100.0,-2.0,falling
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Professional,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Psychopathic/Serial Killer/Lunacy,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Rape with Murder,subtype,10,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Revenge/Enemity,subtype,45,6,4,5,-1,-16.7,1,25.0,0.08,stable
2025-12,IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,subtype,96,6,8,4,-2,-33.3,-4,-50.0,-0.83,falling
