district,population,literacy_pct,urban_pct,density
Bengaluru City,9621551,88.7,90.9,4378
Mysuru City,3001127,72.8,41.5,476
Hubballi Dharwad City,1847023,80.0,56.8,434
Mangaluru City,2089649,88.6,47.7,457
Belagavi City,4779661,73.5,25.0,356
Kalaburagi City,2566326,64.9,31.0,233
Bengaluru Dist,990923,75.0,31.0,441
Bengaluru South,990923,75.0,31.0,441
Tumakuru,2678980,75.1,19.0,253
Kolar,1536401,74.3,32.0,296
Chickballapura,1255104,70.1,23.0,297
K.G.F,1536401,74.3,60.0,296
Chitradurga,1659456,73.7,19.0,197
Davanagere,1945497,75.7,32.3,329
Shivamogga,1752753,80.5,35.0,207
Haveri,1597668,77.6,21.0,332
Dakshina Kannada,2089649,88.6,47.7,457
Udupi,1177361,86.2,28.0,304
Chikkamagaluru,1137961,79.2,18.0,158
Uttara Kannada,1437169,84.1,30.0,140
Belagavi Dist,4779661,73.5,25.0,356
Bagalkot,1889752,68.8,28.0,288
Vijayapur,2177331,67.2,23.0,207
Dharwad,1847023,80.0,56.8,434
Gadag,1064570,75.2,35.0,230
Kalaburagi,2566326,64.9,31.0,233
Bidar,1703300,70.5,24.0,312
Yadgir,1174271,51.8,17.0,224
Mysuru Dist,3001127,72.8,41.5,476
Mandya,1805769,70.4,16.0,365
Chamarajanagar,1020791,61.4,17.0,187
Hassan,1776421,76.1,21.0,261
Kodagu,554519,82.6,14.0,135
Ballari,2452595,67.4,38.0,300
Koppal,1389920,68.1,17.0,251
Raichur,1928812,59.6,24.0,228
Vijayanagara,1353628,67.0,30.0,270
