population,literacy_pct,urban_pct,density,risk_band
9621551,88.7,90.9,4378,Critical
3001127,72.8,41.5,476,Low
1847023,80.0,56.8,434,Low
2089649,88.6,47.7,457,Moderate
4779661,73.5,25.0,356,Low
2566326,64.9,31.0,233,Low
990923,75.0,31.0,441,Critical
990923,75.0,31.0,441,Critical
2678980,75.1,19.0,253,High
1536401,74.3,32.0,296,Moderate
1255104,70.1,23.0,297,Critical
1536401,74.3,60.0,296,Low
1659456,73.7,19.0,197,Critical
1945497,75.7,32.3,329,High
1752753,80.5,35.0,207,Critical
1597668,77.6,21.0,332,Moderate
2089649,88.6,47.7,457,Low
1177361,86.2,28.0,304,High
1137961,79.2,18.0,158,Critical
1437169,84.1,30.0,140,High
4779661,73.5,25.0,356,Low
1889752,68.8,28.0,288,Moderate
2177331,67.2,23.0,207,High
1847023,80.0,56.8,434,Low
1064570,75.2,35.0,230,Moderate
2566326,64.9,31.0,233,Low
1703300,70.5,24.0,312,High
1174271,51.8,17.0,224,High
3001127,72.8,41.5,476,Moderate
1805769,70.4,16.0,365,Critical
1020791,61.4,17.0,187,High
1776421,76.1,21.0,261,Critical
554519,82.6,14.0,135,Critical
2452595,67.4,38.0,300,Moderate
1389920,68.1,17.0,251,Moderate
1928812,59.6,24.0,228,Moderate
1353628,67.0,30.0,270,High
