population,literacy_pct,urban_pct,density,risk_band
2735196,86.7,40.5,246,High
4213570,72.6,45.6,477,High
6707403,87.2,95.0,3976,Critical
1712589,45,22.9,199,Low
1567176,52.7,19.1,330,Low
3226059,83.5,50.4,680,High
737120,84.2,8,211,Low
7750978,91.7,83.9,6379,Critical
1196638,77.1,29.9,392,Moderate
2086514,66.2,57.9,432,Critical
2038281,75.8,36.5,154,High
1946853,76.4,31.7,330,Moderate
3089999,75.3,60.5,767,High
2173356,72.6,50.6,502,High
1305647,75.3,25.4,167,Low
639220,84.4,38.6,236,High
3083199,77.0,41.6,420,Moderate
2266061,73.6,30.0,142,Moderate
1531435,76.6,28.0,455,Low
2050645,82.2,23.0,558,High
12657559,89.9,99,4769,Critical
4598767,74.6,24.3,641,Moderate
1541086,86.6,14.2,383,Moderate
1278959,57.1,26.2,126,Low
2139539,73.0,47.0,194,Moderate
1052469,88.6,27.3,224,Low
1375434,64.9,33.0,224,Moderate
2420399,67.3,22.2,412,Moderate
2461150,74.4,17.6,305,High
2601437,77.2,24.1,124,High
2108988,73.5,27.2,161,Low
534579,73.5,9.9,154,Low
14211331,91.9,80.9,2926,Critical
2046623,83.4,56.5,362,Moderate
1621327,84.0,36.7,538,Moderate
9635840,85.9,92.6,3896,Critical
1460948,76.6,30.7,356,Moderate
1408886,81.1,19.3,159,Low
2563678,82.6,25.2,231,High
1424468,55.8,22.7,222,Low
792175,63.7,47.8,202,Moderate
1002114,60.7,33.7,476,Moderate
2070588,63.0,38.0,150,Low
1776556,67.4,23.0,371,Moderate
1600919,71.0,16.9,164,Low
3414014,74.2,22.3,332,Moderate
3370875,54.1,52.0,370,High
2005139,79.6,23.9,407,Moderate
1218985,77.3,53.3,577,Critical
1747738,67.1,36.5,435,Low
1698956,71.0,55.1,574,High
2267138,67.1,41.6,312,Moderate
3374988,74.3,15.5,210,Moderate
1414368,73.7,47.8,357,Moderate
1885105,79.9,62.3,393,High
1840957,88.0,31.8,456,Moderate
1441952,83.8,54.3,541,Critical
1528454,78.0,42.8,255,Low
6475761,69.5,17.3,251,High
831445,74.6,20.2,317,Low
1243558,69.6,64.1,299,High
1177525,59.4,45.5,553,Moderate
14193352,99,93.6,4030,Critical
1333024,76.6,26.0,152,Moderate
1867180,62.7,18.7,517,Low
13097443,87.4,99,5306,Critical
1474164,83.3,34.6,116,Moderate
1311245,73.9,29.7,449,High
2973386,64.9,30.7,123,Moderate
748970,82.4,29.5,378,High
1532446,85.9,26.8,154,Low
1778790,71.2,32.6,168,Low
1110924,50.7,31.9,197,Low
1473116,79.0,33.7,238,High
5414930,73.5,15.7,261,Moderate
1922462,78.7,29.5,140,Moderate
1988466,68.6,26.7,337,Moderate
1175300,81.8,37.6,351,High
2642194,71.7,42.8,839,High
1277645,65.8,22.3,198,Low
1184814,76.8,39.6,391,High
1173258,73.9,16.9,449,Low
1475430,85.0,49.1,169,Low
2199784,75.8,15.0,564,Moderate
748595,76.5,22.4,326,Moderate
2294355,78.6,15.4,306,Low
1035413,77.3,34.9,394,Moderate
1615020,48.3,21.6,206,Low
2301108,90.6,59.1,352,High
2503763,65.5,8.0,161,Low
2092072,68.2,53.4,776,High
1316079,68.8,19.5,287,High
2365599,70.0,43.1,763,Low
747036,78.7,19.4,138,Low
1292956,77.8,12.0,226,Moderate
1318690,81.1,58.4,370,High
2164855,86.9,34.6,184,High
1493837,51.1,34.3,320,Moderate
1635096,70.1,28.6,351,Low
1162259,79.1,31.6,415,High
1546093,78.5,24.9,173,Low
985192,70.4,12.1,265,Moderate
2273977,60.7,32.2,232,Moderate
2464393,75.3,40.1,258,High
1394285,88.6,22.8,223,Low
1816020,66.1,32.5,276,Moderate
1106024,59.8,40.9,353,Low
2148593,73.8,25.6,143,Low
2090700,68.9,17.6,229,Low
1882118,69.3,37.1,425,Low
3138375,81.3,18.3,343,Low
897167,63.8,23.5,371,Moderate
2385517,76.1,32.8,355,High
2160583,64.5,33.3,526,Moderate
603767,68.5,22.4,526,Moderate
1206118,70.2,39.0,172,Moderate
2518090,75.5,48.9,315,Moderate
2163141,79.2,65.0,512,High
1471695,73.5,17.1,411,Low
2158775,61.5,11.9,310,Low
14942855,88.1,99,2805,Critical
3802811,74.9,9.4,328,Low
4412486,65.7,37.9,662,High
599827,68.2,34.0,333,High
2229737,83.1,37.9,421,High
3483701,57.0,25.7,361,Low
2345683,63.7,44.5,506,Low
2143607,72.5,12.1,489,Moderate
1782366,79.9,31.4,147,Moderate
2855889,70.3,21.2,153,Low
4916186,73.1,21.7,261,Low
1063224,83.9,33.1,635,High
2024739,80.7,31.9,164,Moderate
1252920,82.9,51.6,290,High
1926911,61.2,38.0,176,Low
1187503,75.8,43.5,673,Moderate
780159,83.3,34.7,776,High
1979839,62.8,34.9,301,Low
2106307,74.0,40.8,665,Critical
1334724,69.5,25.6,332,High
1185654,87.8,40.8,152,Moderate
2838164,76.1,38.5,145,Moderate
3344754,78.8,26.2,350,Moderate
1188701,82.7,28.3,96,Low
686731,72.9,30.4,247,Low
958594,59.8,41.0,199,Moderate
1876829,59.2,36.4,185,Low
773331,69.7,30.6,436,Low
2406842,85.9,13.0,314,Moderate
3515188,72.9,37.1,557,High
1641891,45,20.1,250,Low
2336430,77.7,58.2,520,High
2655486,56.5,22.3,339,Low
1501440,79.8,33.6,120,High
1677932,77.9,40.7,366,High
1396598,51.9,24.4,171,Low
1633196,73.1,15.5,145,Low
2020947,68.6,37.1,365,High
784434,83.5,13.4,136,Low
2222184,74.0,57.5,248,Moderate
1112480,70.6,38.7,392,Moderate
1311588,65.6,17.9,435,Low
3663499,63.5,28.4,314,High
1111681,45,13.5,271,Low
2962146,92.0,44.2,385,High
973697,73.3,12.6,256,High
6682340,77.3,94.2,2988,Critical
1758425,69.7,37.4,480,Moderate
11489849,82.1,94.5,3304,Critical
2116220,59.6,25.5,139,Low
2203739,83.8,19.9,451,High
699945,67.2,8.3,318,Low
2484157,84.5,57.7,447,Critical
1701237,93.1,74.8,393,High
2511303,63.5,9.0,538,Moderate
2301669,76.1,53.3,472,High
729899,63.8,24.5,268,Low
3792032,70.1,21.0,488,Low
3101848,56.3,15.9,252,Moderate
2888750,70.5,32.8,182,Moderate
996659,57.4,19.6,287,Low
1305856,92.8,51.9,362,High
3536763,60.5,31.6,240,Moderate
1125737,78.0,30.3,109,Low
1950592,74.0,8.8,411,Low
918494,61.5,20.6,426,Low
6849836,77.1,23.4,434,Moderate
6291590,66.1,29.6,425,Moderate
655643,70.4,8,191,Low
1199595,88.7,58.2,272,High
2130489,81.3,37.3,181,Moderate
3729735,57.2,36.6,206,Moderate
903759,68.0,14.7,710,Low
2080522,81.2,42.1,422,Moderate
1008707,86.2,31.7,168,Low
