crime_group,count
MOTOR VEHICLE ACCIDENTS NON-FATAL,242976
THEFT,159021
CrPC,137939
CASES OF HURT,126211
MISSING PERSON,124811
KARNATAKA POLICE ACT 1963,107576
Karnataka State Local Act,90742
MOTOR VEHICLE ACCIDENTS FATAL,83040
CYBER CRIME,78502
CHEATING,48675
MOLESTATION,42856
PUBLIC SAFETY,42380
RIOTS,36695
BURGLARY - NIGHT,35729
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,27856
KIDNAPPING AND ABDUCTION,23922
NEGLIGENT ACT,22659
ATTEMPT TO MURDER,20816
POCSO,19854
CRUELTY BY HUSBAND,19260
CRIMINAL INTIMIDATION,17885
ROBBERY,15000
CRIMES RELATED TO WOMEN,14345
SCHEDULED CASTE AND THE SCHEDULED TRIBES,14196
CRIMINAL TRESPASS,14017
MURDER,10764
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),9964
BURGLARY - DAY,8245
SUICIDE,6074
DACOITY,5276
RAPE,4062
CRIMINAL BREACH OF TRUST,3722
CONSUMER,3717
MISCHIEF,3570
WRONGFUL RESTRAINT/CONFINEMENT,3469
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",3329
FORGERY,3317
AFFRAY,3191
DEATHS DUE TO RASHNESS/NEGLIGENCE,2976
Disobedience to Order Promulgated by PublicServan,2713
ELECTION,2648
ARSON,2550
CHILDREN ACT,2106
ANIMAL,2096
IMMORAL TRAFFIC,2085
COMMUNAL / RELIGION,1955
Failure to appear to Court,1660
ARMS ACT  1959,1651
Attempting to commit offences,1505
DOWRY DEATHS,1484
COPY RIGHT ACT 1957,1407
REPRESENTATION OF PEOPLE ACT 1951 & 1988,1276
PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,1217
INSULTING MODESTY OF WOMEN (EVE TEASING),917
EXPLOSIVES,871
EXPOSURE AND ABANDONMENT OF CHILD,835
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,665
Concealment of birth by secret disposal of Child,534
OFFENCES PROMOTING ENEMITY,534
PUBLIC NUISANCE,513
FOREIGNER,421
OFFENCES RELATED TO MARRIAGE,379
ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE,333
COUNTERFEITING,314
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,282
ASSAULT,269
FALSE EVIDENCE,255
PASSPORT ACT,246
CRIMINAL CONSPIRACY,237
ADULTERATION,157
POISONING-PROFESSIONAL,156
INDIAN ELECTRICITY ACT,142
FOREST,133
BONDED LABOUR SYSTEM,117
CRIMINAL MISAPPROPRIATION,111
PORNOGRAPHY,109
DEATHS-MISCARRIAGE,107
Human Trafficking,104
INDIAN MOTOR VEHICLE,103
DEFAMATION,98
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),97
ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,87
SLAVERY,80
IMPERSONATION,64
OF ABETMENT,63
ANTIQUES (CULTURAL PROPERTY),53
UNNATURAL SEX,52
RAILWAYS ACT,49
CIVIL RIGHTS,42
OFFICIAL SECURITY RELATED ACTS,37
SEDITION,34
PUBLIC JUSTICE,30
"POST & TELEGRAPH,TELEGRAPH WIRES(UNLAWFUL POSSESSION)ACT 1950",21
UNLAWFUL ACTIVITIES(Prevention)ACT 1967,17
DOCUMENTS & PROPERTY MARKS,16
RECEIVING OF STOLEN PROPERTY,14
Giving false information respecting an offence com,11
INFANTICIDE,8
FAILURE TO APPEAR TO COURT,5
UNNATURAL DEATH (Sec 174/174c/176),4
CINEMATOGRAPH ACT 1952,3
DEFENCE FORCES OFFENCES RELATING TO (also relating to desertion),3
PREVENTION OF CORRUPTION ACT 1988,3
OFFENCES AGAINST STATE,3
BUYING & SELLING MINOR FOR PROSTITUTION,2
NATIONAL SECURITY ACT,1
ILLEGAL DETENTION,1
