lat,lng,count
12.97,77.58,2271
12.96,77.58,2077
12.96,77.57,1273
13.02,77.56,1218
13.01,77.53,1205
12.97,77.57,1166
12.95,77.54,1104
12.98,77.56,1103
13.01,77.7,1051
12.97,77.59,1038
13.01,77.61,957
13.0,77.58,906
12.99,77.54,857
12.97,77.56,831
12.95,77.53,793
12.94,77.57,778
12.95,77.62,767
12.95,77.57,756
13.04,77.52,745
13.02,77.61,736
12.99,77.55,730
12.95,77.58,728
12.97,77.55,728
12.92,77.61,719
13.02,77.53,705
13.04,77.59,691
13.02,77.59,691
15.35,75.14,684
12.96,77.53,680
13.0,77.55,644
13.02,77.55,631
12.96,77.59,618
12.98,77.6,609
12.96,77.52,605
12.94,77.61,595
13.03,77.54,592
12.97,77.61,584
12.93,77.58,580
12.98,77.61,567
12.96,77.55,564
13.04,77.51,563
12.98,77.57,562
12.93,77.61,547
13.0,77.57,543
15.34,75.14,542
15.86,74.51,541
13.0,77.69,537
13.01,77.54,536
13.03,77.6,533
13.0,77.53,533
12.97,77.52,532
12.96,77.54,528
12.96,77.56,523
13.03,77.59,523
13.03,77.58,519
15.46,75.01,513
12.8,77.71,510
12.99,77.57,510
12.94,77.55,508
12.31,76.66,501
13.04,77.57,491
13.0,77.5,488
12.95,77.6,485
12.93,77.54,478
12.57,77.33,478
13.05,77.51,466
16.17,75.66,465
12.94,77.6,465
12.95,77.56,464
12.98,77.53,450
12.91,77.61,450
12.94,77.52,449
13.01,77.57,448
12.87,74.84,444
12.94,77.58,440
12.31,76.65,439
12.97,77.53,439
12.94,77.53,439
17.34,76.84,437
12.95,77.55,433
12.99,77.53,433
12.94,77.56,432
16.83,75.72,426
13.01,77.58,425
12.93,77.55,424
13.03,77.61,414
13.01,77.59,413
13.93,75.57,410
12.98,77.58,408
13.04,77.55,405
12.94,77.54,405
13.02,77.54,404
13.06,77.56,403
14.47,75.92,401
12.78,77.77,400
13.01,77.52,398
12.59,77.35,396
12.99,77.61,393
15.86,74.52,389
13.0,77.54,388
16.83,75.71,386
12.97,77.54,385
12.96,77.64,385
12.92,77.58,384
12.94,77.63,371
13.1,77.39,371
12.92,77.6,370
12.57,77.34,370
12.12,75.12,370
13.07,77.79,370
17.33,76.84,370
12.98,77.55,369
13.0,77.56,369
12.93,77.57,364
12.1,77.6,364
12.96,77.62,363
12.99,77.58,363
13.01,77.69,363
12.99,77.59,362
12.97,77.6,360
13.03,77.57,358
13.03,77.56,356
15.35,75.15,356
13.04,77.58,355
15.87,74.51,352
12.93,77.59,352
14.46,75.92,349
13.34,77.1,348
12.92,77.59,347
12.95,77.52,342
15.34,75.13,342
12.99,77.6,339
12.83,77.68,338
13.04,77.56,337
12.93,77.56,328
13.34,77.11,327
12.98,77.59,326
12.97,77.63,322
13.03,77.53,321
12.84,77.66,319
12.96,77.6,315
13.06,77.46,315
17.33,76.82,315
12.98,77.54,314
13.0,77.52,313
12.92,77.57,310
14.79,75.4,309
12.86,74.84,309
12.58,77.33,308
12.97,77.65,307
13.32,75.77,306
13.03,77.52,305
12.91,77.56,303
16.73,75.06,302
17.32,76.83,301
12.95,77.59,300
12.92,77.56,300
12.94,77.75,291
12.98,77.63,290
15.36,75.13,289
12.97,77.62,288
12.92,77.48,285
