district,unit,latitude,longitude,total_crimes
Bengaluru City,K.R. Puram PS,13.02536,77.68261,3393
Bengaluru Dist,Madanayakanahally PS,13.04323,77.45103,3049
Bengaluru City,Byatarayanapura  PS,12.92597,77.5306,2994
Bengaluru City,Chandra Layout PS,12.90415,77.49762,2990
Bengaluru City,Nandini Layout PS,13.01697,77.53156,2984
Bengaluru Dist,Nelamangala Traffic PS,13.11724,77.36816,2399
Bengaluru City,Basaveshwara Nagar PS,12.95577,77.53943,2306
Bengaluru Dist,Hebbagodi PS,12.79795,77.6777,2263
Bengaluru City,Peenya PS,13.03518,77.50318,2259
Bengaluru Dist,Attibele PS,12.76937,77.7502,2182
Bengaluru City,Devarajeevanahalli PS,13.01859,77.60915,2147
Bengaluru City,Varthur PS,12.90097,77.70683,2063
Bengaluru City,Yeshwanthapura Traffic PS,13.03377,77.53249,2062
Bengaluru City,Peenya Traffic PS,13.03739,77.50876,2041
Bengaluru City,Kengeri PS,12.86925,77.48037,1956
Bengaluru Dist,Suryanagar PS,12.79813,77.70372,1910
Bengaluru Dist,Hosakote PS,13.07624,77.7921,1904
Belagavi Dist,Athani PS,16.72842,75.04878,1841
Bengaluru City,Jayanagar PS,12.86086,77.50133,1757
Bengaluru City,City Market PS,12.96354,77.57523,1726
Bengaluru City,Sanjay Nagar PS,13.03991,77.55935,1691
Bengaluru Dist,Avalahally PS,13.05107,77.7257,1690
Belagavi Dist,Soundatti PS,15.7851,75.12907,1621
Bengaluru City,Mico Layout PS,12.89374,77.60139,1617
Bengaluru City,R.T.Nagar Traffic PS,13.03605,77.61564,1617
Bengaluru City,Adugodi PS,12.94312,77.60492,1590
Bengaluru Dist,Doddaballapura Rural PS,13.31396,77.54834,1583
Tumakuru,Kunigal PS,13.01754,77.03192,1573
Bengaluru City,Kalasipalya PS,12.94861,77.56395,1556
Bengaluru City,Rajagopal Nagar PS,13.01162,77.46132,1527
Bengaluru City,Kempapura Agrahara PS,12.95801,77.55855,1509
Bengaluru Dist,Sarjapura PS,12.87066,77.77181,1486
Bengaluru City,Konanakunte PS,12.85782,77.56638,1475
Bengaluru City,Hulimavu PS,12.65067,77.4608,1459
Bengaluru City,Devanahalli Traffic PS,13.22506,77.67345,1408
Bengaluru City,Kamakshipalya PS,12.98338,77.51306,1394
Bengaluru City,R.T. Nagar PS,13.02834,77.58043,1392
Bengaluru City,Basavanagudi PS,12.92302,77.59047,1358
Tumakuru,Tumakuru Rural PS,13.34535,77.08088,1354
Bengaluru City,Girinagar PS,12.89374,77.52951,1340
Kalaburagi City,Kalaburagi Traffic II PS,17.34419,76.84646,1334
Bengaluru City,High Grounds PS,12.8071,77.47588,1332
Bengaluru City,Electronic City Traffic PS,12.7891,77.57736,1330
Bengaluru Dist,Anekal PS,12.71496,77.69311,1327
Davanagere,Channagiri PS,14.02888,75.92989,1325
Bengaluru City,Ashoknagar PS,12.94788,77.60465,1324
Belagavi Dist,Murgod PS,15.88599,74.97212,1319
Belagavi Dist,Bailahongal PS,15.78695,74.81956,1314
Kalaburagi City,Sub Urban PS,17.37275,76.81973,1310
Bengaluru City,H.A.L. PS,12.93492,77.66963,1304
Tumakuru,Kyathasandra PS,13.30524,77.1711,1284
Tumakuru,Sira PS,13.73054,76.90432,1284
Tumakuru,Gubbi PS,13.30636,76.88049,1279
Bengaluru City,Viveknagar PS,12.94739,77.62227,1264
Bengaluru City,Sampigehalli PS,13.07219,77.62645,1263
Vijayapur,Vijayapura Rural PS,16.85446,75.76291,1260
