fir_id,offender_id,crime_type,modus_operandi,district,month,year,synthetic
SYN-FIR-00001,SYN-OFF-0181,Theft,mobile_theft,Bagalkot,1,2025,true
SYN-FIR-00002,SYN-OFF-0133,Robbery,robbery_highway,Bengaluru City,9,2025,true
SYN-FIR-00003,SYN-OFF-0178,Criminal Intimidation,extortion,Belagavi City,7,2025,true
SYN-FIR-00004,SYN-OFF-0191,Burglary,house_burglary,Raichur,9,2025,true
SYN-FIR-00005,SYN-OFF-0002,Criminal Intimidation,extortion,Bengaluru City,7,2025,true
SYN-FIR-00006,SYN-OFF-0189,Theft,vehicle_theft,Bengaluru Dist,4,2025,true
SYN-FIR-00007,SYN-OFF-0118,Burglary,house_burglary,Belagavi City,4,2025,true
SYN-FIR-00008,SYN-OFF-0218,Counterfeiting,counterfeit,Bagalkot,10,2025,true
SYN-FIR-00009,SYN-OFF-0032,Cheating,atm_fraud,Bengaluru City,11,2025,true
SYN-FIR-00010,SYN-OFF-0143,Robbery,robbery_highway,Bengaluru Dist,8,2025,true
SYN-FIR-00011,SYN-OFF-0109,Theft,vehicle_theft,Hubballi Dharwad City,9,2025,true
SYN-FIR-00012,SYN-OFF-0199,Cheating,otp_fraud,Mysuru Dist,7,2025,true
SYN-FIR-00013,SYN-OFF-0112,Robbery,chain_snatching,Tumakuru,3,2025,true
SYN-FIR-00014,SYN-OFF-0059,Burglary,house_burglary,Mandya,12,2025,true
SYN-FIR-00015,SYN-OFF-0179,Criminal Intimidation,extortion,Chamarajanagar,3,2025,true
SYN-FIR-00016,SYN-OFF-0060,Dacoity,dacoity,Chitradurga,5,2025,true
SYN-FIR-00017,SYN-OFF-0203,Cheating,atm_fraud,Bengaluru Dist,6,2025,true
SYN-FIR-00018,SYN-OFF-0001,Cheating,otp_fraud,Bengaluru City,7,2025,true
SYN-FIR-00019,SYN-OFF-0183,Theft,mobile_theft,Bengaluru City,9,2025,true
SYN-FIR-00020,SYN-OFF-0102,Counterfeiting,counterfeit,Bengaluru Dist,10,2025,true
SYN-FIR-00021,SYN-OFF-0079,Counterfeiting,counterfeit,Ballari,2,2025,true
SYN-FIR-00022,SYN-OFF-0147,Robbery,chain_snatching,Chitradurga,1,2025,true
SYN-FIR-00023,SYN-OFF-0219,Theft,mobile_theft,Bengaluru City,11,2025,true
SYN-FIR-00024,SYN-OFF-0218,Counterfeiting,counterfeit,Mandya,8,2025,true
SYN-FIR-00025,SYN-OFF-0082,Theft,cattle_theft,Hassan,11,2025,true
SYN-FIR-00026,SYN-OFF-0179,Criminal Intimidation,extortion,Chamarajanagar,8,2025,true
SYN-FIR-00027,SYN-OFF-0049,Counterfeiting,counterfeit,Udupi,9,2025,true
SYN-FIR-00028,SYN-OFF-0001,Cheating,otp_fraud,Bengaluru City,10,2025,true
SYN-FIR-00029,SYN-OFF-0208,Burglary,house_burglary,Haveri,12,2025,true
SYN-FIR-00030,SYN-OFF-0106,Robbery,chain_snatching,Mysuru Dist,6,2025,true
SYN-FIR-00031,SYN-OFF-0049,Counterfeiting,counterfeit,Hassan,1,2025,true
SYN-FIR-00032,SYN-OFF-0133,Robbery,robbery_highway,Mysuru Dist,12,2025,true
SYN-FIR-00033,SYN-OFF-0155,Theft,mobile_theft,Dharwad,6,2025,true
SYN-FIR-00034,SYN-OFF-0116,Theft,cattle_theft,Vijayapur,12,2025,true
SYN-FIR-00035,SYN-OFF-0011,Dacoity,dacoity,Bengaluru City,8,2025,true
SYN-FIR-00036,SYN-OFF-0183,Theft,mobile_theft,Bengaluru City,4,2025,true
SYN-FIR-00037,SYN-OFF-0033,Theft,vehicle_theft,Bengaluru City,8,2025,true
SYN-FIR-00038,SYN-OFF-0218,Counterfeiting,counterfeit,Bengaluru City,5,2025,true
SYN-FIR-00039,SYN-OFF-0156,Cheating,investment_scam,Bengaluru City,9,2025,true
SYN-FIR-00040,SYN-OFF-0203,Cheating,atm_fraud,Bengaluru Dist,1,2025,true
SYN-FIR-00041,SYN-OFF-0057,Theft,cattle_theft,Raichur,6,2025,true
SYN-FIR-00042,SYN-OFF-0160,Robbery,chain_snatching,Hassan,9,2025,true
