district_id,district,population_2011,literacy_pct,urban_pct,density_per_sqkm,total_crimes_2025,crime_rate_per_100k
D01,Bengaluru City,9621551,88.7,90.9,4378,56472,586.9
D02,Mysuru City,3001127,72.8,41.5,476,3264,108.8
D03,Hubballi Dharwad City,1847023,80.0,56.8,434,2648,143.4
D04,Mangaluru City,2089649,88.6,47.7,457,3483,166.7
D05,Belagavi City,4779661,73.5,25.0,356,2307,48.3
D06,Kalaburagi City,2566326,64.9,31.0,233,2740,106.8
D07,Bengaluru Dist,990923,75.0,31.0,441,7620,769.0
D08,Bengaluru South,990923,75.0,31.0,441,4580,462.2
D09,Tumakuru,2678980,75.1,19.0,253,8470,316.2
D10,Kolar,1536401,74.3,32.0,296,2750,179.0
D11,Chickballapura,1255104,70.1,23.0,297,4161,331.5
D12,K.G.F,1536401,74.3,60.0,296,1142,74.3
D13,Chitradurga,1659456,73.7,19.0,197,5838,351.8
D14,Davanagere,1945497,75.7,32.3,329,4771,245.2
D15,Shivamogga,1752753,80.5,35.0,207,6995,399.1
D16,Haveri,1597668,77.6,21.0,332,3561,222.9
D17,Dakshina Kannada,2089649,88.6,47.7,457,2233,106.9
D18,Udupi,1177361,86.2,28.0,304,3001,254.9
D19,Chikkamagaluru,1137961,79.2,18.0,158,4210,370.0
D20,Uttara Kannada,1437169,84.1,30.0,140,3930,273.5
D21,Belagavi Dist,4779661,73.5,25.0,356,6594,138.0
D22,Bagalkot,1889752,68.8,28.0,288,3570,188.9
D23,Vijayapur,2177331,67.2,23.0,207,5054,232.1
D24,Dharwad,1847023,80.0,56.8,434,1641,88.8
D25,Gadag,1064570,75.2,35.0,230,2268,213.0
D26,Kalaburagi,2566326,64.9,31.0,233,3708,144.5
D27,Bidar,1703300,70.5,24.0,312,4226,248.1
D28,Yadgir,1174271,51.8,17.0,224,2715,231.2
D29,Mysuru Dist,3001127,72.8,41.5,476,5864,195.4
D30,Mandya,1805769,70.4,16.0,365,5930,328.4
D31,Chamarajanagar,1020791,61.4,17.0,187,2912,285.3
D32,Hassan,1776421,76.1,21.0,261,6147,346.0
D33,Kodagu,554519,82.6,14.0,135,2324,419.1
D34,Ballari,2452595,67.4,38.0,300,3885,158.4
D35,Koppal,1389920,68.1,17.0,251,3200,230.2
D36,Raichur,1928812,59.6,24.0,228,4271,221.4
D37,Vijayanagara,1353628,67.0,30.0,270,3248,239.9
D38,Karnataka Railways,0,0.0,0.0,0,800,
