station_id,station_name,district_id,district,range_name,latitude,longitude,total_crimes,synthetic
SYN-PS-0001,Bengaluru City City PS,D01,Bengaluru City,Commissionerates,12.9414,77.6955,1978,true
SYN-PS-0002,Bengaluru City Rural PS,D01,Bengaluru City,Commissionerates,13.0798,77.7635,4485,true
SYN-PS-0003,Bengaluru City North PS,D01,Bengaluru City,Commissionerates,13.0644,77.5681,960,true
SYN-PS-0004,Bengaluru City East PS,D01,Bengaluru City,Commissionerates,12.9707,77.5378,1982,true
SYN-PS-0005,Bengaluru City Town PS,D01,Bengaluru City,Commissionerates,13.0611,77.5008,8376,true
SYN-PS-0006,Bengaluru City Central PS,D01,Bengaluru City,Commissionerates,13.0395,77.6024,5728,true
SYN-PS-0007,Bengaluru City West PS,D01,Bengaluru City,Commissionerates,13.1512,77.4474,9780,true
SYN-PS-0008,Bengaluru City Extension PS,D01,Bengaluru City,Commissionerates,12.8194,77.6986,3802,true
SYN-PS-0009,Bengaluru City South PS,D01,Bengaluru City,Commissionerates,13.0068,77.6442,1160,true
SYN-PS-0010,Bengaluru City Cantonment PS,D01,Bengaluru City,Commissionerates,13.0732,77.7072,2711,true
SYN-PS-0011,Bengaluru City Industrial PS,D01,Bengaluru City,Commissionerates,13.0216,77.723,8947,true
SYN-PS-0012,Bengaluru City Market PS,D01,Bengaluru City,Commissionerates,12.8392,77.4568,6563,true
SYN-PS-0013,Mysuru City Industrial PS,D02,Mysuru City,Commissionerates,12.2431,76.6484,1340,true
SYN-PS-0014,Mysuru City West PS,D02,Mysuru City,Commissionerates,12.1349,76.7488,342,true
SYN-PS-0015,Mysuru City Rural PS,D02,Mysuru City,Commissionerates,12.4548,76.7514,398,true
SYN-PS-0016,Mysuru City Town PS,D02,Mysuru City,Commissionerates,12.2042,76.786,1184,true
SYN-PS-0017,Hubballi Dharwad City Industrial PS,D03,Hubballi Dharwad City,Commissionerates,15.4677,75.1578,1621,true
SYN-PS-0018,Hubballi Dharwad City City PS,D03,Hubballi Dharwad City,Commissionerates,15.2064,75.1318,351,true
SYN-PS-0019,Hubballi Dharwad City Town PS,D03,Hubballi Dharwad City,Commissionerates,15.3371,75.0243,280,true
SYN-PS-0020,Hubballi Dharwad City Central PS,D03,Hubballi Dharwad City,Commissionerates,15.2945,75.1187,396,true
SYN-PS-0021,Mangaluru City City PS,D04,Mangaluru City,Commissionerates,12.7443,74.9805,666,true
SYN-PS-0022,Mangaluru City North PS,D04,Mangaluru City,Commissionerates,12.7837,74.7714,1111,true
SYN-PS-0023,Mangaluru City East PS,D04,Mangaluru City,Commissionerates,12.8532,74.7378,1327,true
SYN-PS-0024,Mangaluru City Town PS,D04,Mangaluru City,Commissionerates,12.7155,74.7902,379,true
SYN-PS-0025,Belagavi City City PS,D05,Belagavi City,Commissionerates,15.9322,74.6902,1338,true
SYN-PS-0026,Belagavi City Extension PS,D05,Belagavi City,Commissionerates,15.6639,74.352,215,true
