district,incidents,victims,male,female,boy,girl,accused,arrested,chargesheeted,convictions
Bengaluru City,425408,161,178616,87727,7341,13390,488630,262933,438253,70846
Bengaluru Dist,64004,25,36413,14310,1658,2912,94993,52080,75085,10065
Tumakuru,61553,15,41783,16458,1701,2682,111045,86502,110089,30853
Shivamogga,61338,1,33711,14831,1724,2992,121581,39772,100303,19372
Mandya,59701,6,29933,15880,1755,2801,121771,26183,99941,21177
Belagavi Dist,59569,10,38101,15137,2352,2694,142096,75977,124463,30524
Hassan,58256,8,40169,15348,1526,2400,100683,69914,84498,20152
Mysuru Dist,50599,12,25501,11794,1291,2259,105961,21773,83483,20174
Chitradurga,47754,10,25871,12619,1463,2095,94457,43778,86317,24707
Ramanagara,44232,11,23910,10503,1200,1905,76271,48089,63390,10008
Vijayapur,39508,4,19629,8108,1265,1505,94462,43941,80614,18943
Davanagere,39041,24,25603,10921,1233,1992,80449,37913,64379,20786
Bidar,37861,4,25890,8749,1479,1281,80186,47531,75109,17307
Chickballapura,36545,12,17492,9098,876,1821,71239,42334,60689,18082
Raichur,36496,5,15912,8099,1027,1294,96588,55385,89107,16004
Chikkamagaluru,35485,5,19710,9151,989,1879,65879,25197,53999,9908
Uttara Kannada,32690,5,20169,8107,1111,1584,56240,31027,45365,15508
Mangaluru City,31544,33,17407,5886,801,1048,47333,28635,40273,12216
Kalaburagi,31351,7,19807,7516,964,1248,76005,42627,73203,11425
Mysuru City,30510,7,18301,8991,944,1354,45873,19195,36714,7442
Haveri,29771,4,17039,7627,939,1474,71247,25792,54711,13033
Udupi,28431,8,16208,6568,820,991,46933,24402,36386,13524
Ballari,28426,35,13124,5219,925,1034,66135,32812,58252,21003
Bagalkot,28123,4,17132,6895,1033,1289,71770,31181,64594,14453
Vijayanagara,25815,2,13466,5780,785,1154,63952,38339,54131,17655
Koppal,24926,4,12740,5318,697,1122,66994,32023,58617,8225
Hubballi Dharwad City,24087,2,13118,5067,597,808,38109,27631,38636,11134
Kolar,23648,8,14530,6720,691,1298,47366,20936,35507,4634
Chamarajanagar,23043,6,10495,5075,503,841,48323,20236,38747,11337
Dakshina Kannada,21125,0,13214,4945,809,1091,34710,18772,26985,7337
Belagavi City,20877,0,12708,4801,683,747,39255,21346,32059,7468
Kalaburagi City,20223,16,10533,3696,582,508,38829,23495,37684,7649
Yadgir,19511,6,10991,4664,697,773,53275,25990,50714,7398
Kodagu,19247,1,10870,4195,531,1088,29623,11343,24089,5638
Gadag,18502,0,8755,4047,531,663,41066,20536,37428,13544
Dharwad,14866,2,9820,3634,506,699,33510,19921,29224,4842
K.G.F,10256,0,5173,2671,293,445,17574,8765,14494,3500
Karnataka Railways,9888,0,4398,1985,94,84,3338,4576,6188,515
Coastal Security Police,213,0,4,0,0,0,297,203,301,170
CID,172,1,4,0,0,0,153,72,40,0
ISD Bengaluru,139,0,1,0,0,0,152,49,175,124
