law_type,category,month_idx,month_name,current_month,ytd,same_month_prev_year,prev_month
IPC,"Murder (Sec.302/303 IPC/103,104 BNS)",1,January,31,31,28,32
IPC,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),1,January,295,295,209,251
IPC,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),1,January,7,7,13,8
IPC,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),1,January,5,5,6,2
IPC,"RAPE (Sec.376, 376(A) to 376 (D) IPC/64 TO 71 BNS)",1,January,65,65,53,58
IPC,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC/137(1)(A),137(1)(B),137(2),140 TO 142,97 BNS)",1,January,376,376,353,333
IPC,"DACOITY (Sec. 395 to 398 IPC/310(2),310(4),311,312 BNS)",1,January,20,20,28,18
IPC,"Robbery (Sec.392 to 394 IPC/309(4),309(5),309(6) BNS)",1,January,98,98,174,92
IPC,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8),334(2) BNS)",1,January,316,316,415,336
IPC,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC/305,R/W 331(1) TO 331(8), 334(2) BNS)",1,January,94,94,101,94
IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),1,January,1837,1837,1942,1891
IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",1,January,260,260,301,247
IPC,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC/147 TO 158 BNS)",1,January,0,0,0,0
IPC,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",1,January,3,3,16,8
IPC,CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),1,January,52,52,50,57
IPC,"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",1,January,515,515,625,557
IPC,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",1,January,4,4,3,1
IPC,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",1,January,59,59,43,55
IPC,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",1,January,1314,1314,1387,1300
IPC,"ADULTERATION (Sec. 272, 273 to 276 IPC/274,275 TO 278 BNS)",1,January,2,2,0,0
IPC,AFFRAY (Sec. 160 IPC/194(2) BNS),1,January,47,47,39,34
IPC,"ARSON (Sec. 435, 436, 438 IPC/326(f),326(g),327(g) BNS)",1,January,17,17,17,15
IPC,"ASSAULT (Sec 356, 357 IPC/134,135 BNS)",1,January,3,3,5,0
IPC,COMMUNAL / RELIGION (Sec. 295 to 297 IPC/298 TO 301 BNS),1,January,21,21,57,28
IPC,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC/61(2),148 BNS)",1,January,1,1,0,0
IPC,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC/352 TO 354 BNS),1,January,226,226,211,224
IPC,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC/314,315 BNS)",1,January,2,2,1,3
IPC,CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3) TO 333 BNS),1,January,489,489,444,426
IPC,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),1,January,11,11,5,6
IPC,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC/106 BNS),1,January,17,17,28,35
IPC,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC/106 BNS),1,January,935,935,1071,1066
IPC,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC/281,125(a),125(b) BNS)",1,January,2926,2926,2714,2782
IPC,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC/88,89,90 BNS)",1,January,0,0,3,1
IPC,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC/159 TO 168 EXCEPT 164 BNS)",1,January,0,0,1,0
IPC,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC/262,263,265 BNS)",1,January,3,3,3,1
IPC,"IMPERSONATION (Sec.170, 171 IPC/204,205 BNS)",1,January,0,0,0,0
IPC,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC/324(4) TO 324(6) BNS)",1,January,28,28,45,33
IPC,MOLESTATION (Sec.354 IPC/74 BNS),1,January,457,457,533,423
IPC,POISONING-PROFESSIONAL (Sec. 328 IPC/123 BNS),1,January,2,2,1,2
IPC,PORNOGRAPHY (Sec.292 to 294 IPC/294 TO 296 BNS),1,January,1,1,0,0
