link_id,source,target,relation,weight,synthetic
SYN-LNK-00001,SYN-OFF-0141,SYN-OFF-0022,co_offender,4,true
SYN-LNK-00002,SYN-OFF-0141,SYN-OFF-0026,co_offender,5,true
SYN-LNK-00003,SYN-OFF-0141,SYN-OFF-0048,co_offender,4,true
SYN-LNK-00004,SYN-OFF-0141,SYN-OFF-0157,co_offender,2,true
SYN-LNK-00005,SYN-OFF-0141,SYN-OFF-0032,co_offender,5,true
SYN-LNK-00006,SYN-OFF-0141,SYN-OFF-0080,co_offender,1,true
SYN-LNK-00007,SYN-OFF-0141,SYN-OFF-0209,co_offender,2,true
SYN-LNK-00008,SYN-OFF-0141,SYN-OFF-0058,co_offender,2,true
SYN-LNK-00009,SYN-OFF-0022,SYN-OFF-0026,co_offender,4,true
SYN-LNK-00010,SYN-OFF-0022,SYN-OFF-0048,co_offender,3,true
SYN-LNK-00011,SYN-OFF-0022,SYN-OFF-0157,co_offender,2,true
SYN-LNK-00012,SYN-OFF-0022,SYN-OFF-0113,co_offender,2,true
SYN-LNK-00013,SYN-OFF-0022,SYN-OFF-0080,co_offender,5,true
SYN-LNK-00014,SYN-OFF-0022,SYN-OFF-0206,co_offender,5,true
SYN-LNK-00015,SYN-OFF-0022,SYN-OFF-0209,co_offender,4,true
SYN-LNK-00016,SYN-OFF-0026,SYN-OFF-0048,co_offender,4,true
SYN-LNK-00017,SYN-OFF-0026,SYN-OFF-0157,co_offender,2,true
SYN-LNK-00018,SYN-OFF-0026,SYN-OFF-0080,co_offender,3,true
SYN-LNK-00019,SYN-OFF-0026,SYN-OFF-0206,co_offender,2,true
SYN-LNK-00020,SYN-OFF-0048,SYN-OFF-0157,co_offender,1,true
SYN-LNK-00021,SYN-OFF-0048,SYN-OFF-0113,co_offender,5,true
SYN-LNK-00022,SYN-OFF-0048,SYN-OFF-0032,co_offender,1,true
SYN-LNK-00023,SYN-OFF-0048,SYN-OFF-0209,co_offender,5,true
SYN-LNK-00024,SYN-OFF-0048,SYN-OFF-0058,co_offender,5,true
SYN-LNK-00025,SYN-OFF-0157,SYN-OFF-0032,co_offender,2,true
SYN-LNK-00026,SYN-OFF-0157,SYN-OFF-0058,co_offender,4,true
SYN-LNK-00027,SYN-OFF-0113,SYN-OFF-0080,co_offender,2,true
SYN-LNK-00028,SYN-OFF-0113,SYN-OFF-0209,co_offender,1,true
SYN-LNK-00029,SYN-OFF-0113,SYN-OFF-0058,co_offender,5,true
SYN-LNK-00030,SYN-OFF-0032,SYN-OFF-0206,co_offender,1,true
SYN-LNK-00031,SYN-OFF-0080,SYN-OFF-0209,co_offender,4,true
SYN-LNK-00032,SYN-OFF-0209,SYN-OFF-0058,co_offender,2,true
SYN-LNK-00033,SYN-OFF-0090,SYN-OFF-0168,co_offender,4,true
SYN-LNK-00034,SYN-OFF-0090,SYN-OFF-0096,co_offender,4,true
SYN-LNK-00035,SYN-OFF-0090,SYN-OFF-0017,co_offender,1,true
