station_id,district_id,district,hour,crime_count
SYN-PS-0001,D01,Bengaluru City,0,103
SYN-PS-0001,D01,Bengaluru City,1,92
SYN-PS-0001,D01,Bengaluru City,2,81
SYN-PS-0001,D01,Bengaluru City,3,58
SYN-PS-0001,D01,Bengaluru City,4,46
SYN-PS-0001,D01,Bengaluru City,5,35
SYN-PS-0001,D01,Bengaluru City,6,34
SYN-PS-0001,D01,Bengaluru City,7,45
SYN-PS-0001,D01,Bengaluru City,8,57
SYN-PS-0001,D01,Bengaluru City,9,68
SYN-PS-0001,D01,Bengaluru City,10,68
SYN-PS-0001,D01,Bengaluru City,11,68
SYN-PS-0001,D01,Bengaluru City,12,68
SYN-PS-0001,D01,Bengaluru City,13,68
SYN-PS-0001,D01,Bengaluru City,14,68
SYN-PS-0001,D01,Bengaluru City,15,80
SYN-PS-0001,D01,Bengaluru City,16,91
SYN-PS-0001,D01,Bengaluru City,17,102
SYN-PS-0001,D01,Bengaluru City,18,126
SYN-PS-0001,D01,Bengaluru City,19,138
SYN-PS-0001,D01,Bengaluru City,20,138
SYN-PS-0001,D01,Bengaluru City,21,126
SYN-PS-0001,D01,Bengaluru City,22,115
SYN-PS-0001,D01,Bengaluru City,23,103
SYN-PS-0002,D01,Bengaluru City,0,234
SYN-PS-0002,D01,Bengaluru City,1,208
SYN-PS-0002,D01,Bengaluru City,2,182
SYN-PS-0002,D01,Bengaluru City,3,130
SYN-PS-0002,D01,Bengaluru City,4,104
SYN-PS-0002,D01,Bengaluru City,5,77
SYN-PS-0002,D01,Bengaluru City,6,77
SYN-PS-0002,D01,Bengaluru City,7,103
SYN-PS-0002,D01,Bengaluru City,8,129
SYN-PS-0002,D01,Bengaluru City,9,155
SYN-PS-0002,D01,Bengaluru City,10,155
SYN-PS-0002,D01,Bengaluru City,11,155
SYN-PS-0002,D01,Bengaluru City,12,155
SYN-PS-0002,D01,Bengaluru City,13,155
SYN-PS-0002,D01,Bengaluru City,14,155
SYN-PS-0002,D01,Bengaluru City,15,181
SYN-PS-0002,D01,Bengaluru City,16,207
SYN-PS-0002,D01,Bengaluru City,17,233
SYN-PS-0002,D01,Bengaluru City,18,286
SYN-PS-0002,D01,Bengaluru City,19,312
SYN-PS-0002,D01,Bengaluru City,20,312
SYN-PS-0002,D01,Bengaluru City,21,286
SYN-PS-0002,D01,Bengaluru City,22,260
SYN-PS-0002,D01,Bengaluru City,23,234
SYN-PS-0003,D01,Bengaluru City,0,50
SYN-PS-0003,D01,Bengaluru City,1,45
SYN-PS-0003,D01,Bengaluru City,2,39
SYN-PS-0003,D01,Bengaluru City,3,28
SYN-PS-0003,D01,Bengaluru City,4,23
SYN-PS-0003,D01,Bengaluru City,5,17
SYN-PS-0003,D01,Bengaluru City,6,16
SYN-PS-0003,D01,Bengaluru City,7,22
SYN-PS-0003,D01,Bengaluru City,8,27
SYN-PS-0003,D01,Bengaluru City,9,33
SYN-PS-0003,D01,Bengaluru City,10,33
SYN-PS-0003,D01,Bengaluru City,11,33
SYN-PS-0003,D01,Bengaluru City,12,33
SYN-PS-0003,D01,Bengaluru City,13,33
SYN-PS-0003,D01,Bengaluru City,14,33
SYN-PS-0003,D01,Bengaluru City,15,38
SYN-PS-0003,D01,Bengaluru City,16,44
SYN-PS-0003,D01,Bengaluru City,17,49
SYN-PS-0003,D01,Bengaluru City,18,62
SYN-PS-0003,D01,Bengaluru City,19,67
SYN-PS-0003,D01,Bengaluru City,20,67
SYN-PS-0003,D01,Bengaluru City,21,62
SYN-PS-0003,D01,Bengaluru City,22,56
SYN-PS-0003,D01,Bengaluru City,23,50
SYN-PS-0004,D01,Bengaluru City,0,104
SYN-PS-0004,D01,Bengaluru City,1,92
SYN-PS-0004,D01,Bengaluru City,2,81
SYN-PS-0004,D01,Bengaluru City,3,58
SYN-PS-0004,D01,Bengaluru City,4,46
SYN-PS-0004,D01,Bengaluru City,5,34
SYN-PS-0004,D01,Bengaluru City,6,34
SYN-PS-0004,D01,Bengaluru City,7,45
SYN-PS-0004,D01,Bengaluru City,8,57
SYN-PS-0004,D01,Bengaluru City,9,68
SYN-PS-0004,D01,Bengaluru City,10,68
SYN-PS-0004,D01,Bengaluru City,11,68
SYN-PS-0004,D01,Bengaluru City,12,68
SYN-PS-0004,D01,Bengaluru City,13,68
SYN-PS-0004,D01,Bengaluru City,14,68
SYN-PS-0004,D01,Bengaluru City,15,80
SYN-PS-0004,D01,Bengaluru City,16,91
SYN-PS-0004,D01,Bengaluru City,17,103
SYN-PS-0004,D01,Bengaluru City,18,127
SYN-PS-0004,D01,Bengaluru City,19,138
SYN-PS-0004,D01,Bengaluru City,20,138
SYN-PS-0004,D01,Bengaluru City,21,127
SYN-PS-0004,D01,Bengaluru City,22,115
SYN-PS-0004,D01,Bengaluru City,23,104
SYN-PS-0005,D01,Bengaluru City,0,436
SYN-PS-0005,D01,Bengaluru City,1,388
SYN-PS-0005,D01,Bengaluru City,2,339
SYN-PS-0005,D01,Bengaluru City,3,243
SYN-PS-0005,D01,Bengaluru City,4,194
SYN-PS-0005,D01,Bengaluru City,5,146
SYN-PS-0005,D01,Bengaluru City,6,146
SYN-PS-0005,D01,Bengaluru City,7,193
SYN-PS-0005,D01,Bengaluru City,8,242
SYN-PS-0005,D01,Bengaluru City,9,290
SYN-PS-0005,D01,Bengaluru City,10,290
SYN-PS-0005,D01,Bengaluru City,11,290
SYN-PS-0005,D01,Bengaluru City,12,290
SYN-PS-0005,D01,Bengaluru City,13,290
SYN-PS-0005,D01,Bengaluru City,14,290
SYN-PS-0005,D01,Bengaluru City,15,338
SYN-PS-0005,D01,Bengaluru City,16,387
SYN-PS-0005,D01,Bengaluru City,17,435
SYN-PS-0005,D01,Bengaluru City,18,533
SYN-PS-0005,D01,Bengaluru City,19,581
SYN-PS-0005,D01,Bengaluru City,20,581
SYN-PS-0005,D01,Bengaluru City,21,533
SYN-PS-0005,D01,Bengaluru City,22,485
SYN-PS-0005,D01,Bengaluru City,23,436
SYN-PS-0006,D01,Bengaluru City,0,298
SYN-PS-0006,D01,Bengaluru City,1,265
SYN-PS-0006,D01,Bengaluru City,2,232
SYN-PS-0006,D01,Bengaluru City,3,166
SYN-PS-0006,D01,Bengaluru City,4,133
SYN-PS-0006,D01,Bengaluru City,5,100
SYN-PS-0006,D01,Bengaluru City,6,100
SYN-PS-0006,D01,Bengaluru City,7,133
SYN-PS-0006,D01,Bengaluru City,8,165
SYN-PS-0006,D01,Bengaluru City,9,198
SYN-PS-0006,D01,Bengaluru City,10,198
SYN-PS-0006,D01,Bengaluru City,11,198
SYN-PS-0006,D01,Bengaluru City,12,198
SYN-PS-0006,D01,Bengaluru City,13,198
SYN-PS-0006,D01,Bengaluru City,14,198
SYN-PS-0006,D01,Bengaluru City,15,231
SYN-PS-0006,D01,Bengaluru City,16,264
SYN-PS-0006,D01,Bengaluru City,17,297
SYN-PS-0006,D01,Bengaluru City,18,365
SYN-PS-0006,D01,Bengaluru City,19,398
SYN-PS-0006,D01,Bengaluru City,20,398
SYN-PS-0006,D01,Bengaluru City,21,365
SYN-PS-0006,D01,Bengaluru City,22,332
SYN-PS-0006,D01,Bengaluru City,23,298
SYN-PS-0007,D01,Bengaluru City,0,509
SYN-PS-0007,D01,Bengaluru City,1,453
SYN-PS-0007,D01,Bengaluru City,2,396
SYN-PS-0007,D01,Bengaluru City,3,283
SYN-PS-0007,D01,Bengaluru City,4,227
SYN-PS-0007,D01,Bengaluru City,5,169
SYN-PS-0007,D01,Bengaluru City,6,169
SYN-PS-0007,D01,Bengaluru City,7,226
SYN-PS-0007,D01,Bengaluru City,8,282
SYN-PS-0007,D01,Bengaluru City,9,339
SYN-PS-0007,D01,Bengaluru City,10,339
SYN-PS-0007,D01,Bengaluru City,11,339
SYN-PS-0007,D01,Bengaluru City,12,339
SYN-PS-0007,D01,Bengaluru City,13,339
SYN-PS-0007,D01,Bengaluru City,14,339
SYN-PS-0007,D01,Bengaluru City,15,395
SYN-PS-0007,D01,Bengaluru City,16,452
SYN-PS-0007,D01,Bengaluru City,17,508
SYN-PS-0007,D01,Bengaluru City,18,622
SYN-PS-0007,D01,Bengaluru City,19,679
SYN-PS-0007,D01,Bengaluru City,20,679
SYN-PS-0007,D01,Bengaluru City,21,622
SYN-PS-0007,D01,Bengaluru City,22,566
SYN-PS-0007,D01,Bengaluru City,23,509
SYN-PS-0008,D01,Bengaluru City,0,198
SYN-PS-0008,D01,Bengaluru City,1,176
SYN-PS-0008,D01,Bengaluru City,2,154
SYN-PS-0008,D01,Bengaluru City,3,110
SYN-PS-0008,D01,Bengaluru City,4,88
SYN-PS-0008,D01,Bengaluru City,5,66
SYN-PS-0008,D01,Bengaluru City,6,66
SYN-PS-0008,D01,Bengaluru City,7,88
SYN-PS-0008,D01,Bengaluru City,8,110
SYN-PS-0008,D01,Bengaluru City,9,132
SYN-PS-0008,D01,Bengaluru City,10,132
SYN-PS-0008,D01,Bengaluru City,11,132
SYN-PS-0008,D01,Bengaluru City,12,132
SYN-PS-0008,D01,Bengaluru City,13,132
SYN-PS-0008,D01,Bengaluru City,14,131
SYN-PS-0008,D01,Bengaluru City,15,153
SYN-PS-0008,D01,Bengaluru City,16,175
SYN-PS-0008,D01,Bengaluru City,17,197
SYN-PS-0008,D01,Bengaluru City,18,242
SYN-PS-0008,D01,Bengaluru City,19,264
SYN-PS-0008,D01,Bengaluru City,20,264
SYN-PS-0008,D01,Bengaluru City,21,242
SYN-PS-0008,D01,Bengaluru City,22,220
SYN-PS-0008,D01,Bengaluru City,23,198
SYN-PS-0009,D01,Bengaluru City,0,61
SYN-PS-0009,D01,Bengaluru City,1,54
SYN-PS-0009,D01,Bengaluru City,2,47
SYN-PS-0009,D01,Bengaluru City,3,34
SYN-PS-0009,D01,Bengaluru City,4,27
SYN-PS-0009,D01,Bengaluru City,5,20
SYN-PS-0009,D01,Bengaluru City,6,20
SYN-PS-0009,D01,Bengaluru City,7,26
SYN-PS-0009,D01,Bengaluru City,8,33
SYN-PS-0009,D01,Bengaluru City,9,40
SYN-PS-0009,D01,Bengaluru City,10,40
SYN-PS-0009,D01,Bengaluru City,11,40
SYN-PS-0009,D01,Bengaluru City,12,40
SYN-PS-0009,D01,Bengaluru City,13,40
SYN-PS-0009,D01,Bengaluru City,14,40
SYN-PS-0009,D01,Bengaluru City,15,46
SYN-PS-0009,D01,Bengaluru City,16,53
SYN-PS-0009,D01,Bengaluru City,17,60
SYN-PS-0009,D01,Bengaluru City,18,74
SYN-PS-0009,D01,Bengaluru City,19,81
SYN-PS-0009,D01,Bengaluru City,20,81
SYN-PS-0009,D01,Bengaluru City,21,74
SYN-PS-0009,D01,Bengaluru City,22,68
SYN-PS-0009,D01,Bengaluru City,23,61
SYN-PS-0010,D01,Bengaluru City,0,141
SYN-PS-0010,D01,Bengaluru City,1,125
SYN-PS-0010,D01,Bengaluru City,2,109
SYN-PS-0010,D01,Bengaluru City,3,78
SYN-PS-0010,D01,Bengaluru City,4,62
SYN-PS-0010,D01,Bengaluru City,5,47
SYN-PS-0010,D01,Bengaluru City,6,47
SYN-PS-0010,D01,Bengaluru City,7,62
SYN-PS-0010,D01,Bengaluru City,8,78
SYN-PS-0010,D01,Bengaluru City,9,94
SYN-PS-0010,D01,Bengaluru City,10,94
SYN-PS-0010,D01,Bengaluru City,11,94
SYN-PS-0010,D01,Bengaluru City,12,94
SYN-PS-0010,D01,Bengaluru City,13,94
SYN-PS-0010,D01,Bengaluru City,14,94
SYN-PS-0010,D01,Bengaluru City,15,109
SYN-PS-0010,D01,Bengaluru City,16,125
SYN-PS-0010,D01,Bengaluru City,17,141
SYN-PS-0010,D01,Bengaluru City,18,173
